protein1,protein2,score,disease
NR0B2,PPARG,0.976,Unknown Hepatic Disease
NR0B2,NR1H4,0.986,Unknown Hepatic Disease
NR0B2,CREB3,0.988,Unknown Hepatic Disease
NR0B2,HNF4A,0.994,Unknown Hepatic Disease
NR0B2,NR5A2,0.999,Unknown Hepatic Disease
PPARG,NR1H4,0.539,Unknown Hepatic Disease
PPARG,HNF4A,0.582,Unknown Hepatic Disease
PPARG,CYP7A1,0.616,Unknown Hepatic Disease
PPARG,NR1H3,0.865,Unknown Hepatic Disease
CYP7A1,HNF4A,0.748,Unknown Hepatic Disease
CYP7A1,NR1I2,0.849,Unknown Hepatic Disease
CYP7A1,NR1H3,0.879,Unknown Hepatic Disease
CYP7A1,ABCB11,0.934,Unknown Hepatic Disease
CYP7A1,NR5A2,0.946,Unknown Hepatic Disease
CYP7A1,NR1H4,0.986,Unknown Hepatic Disease
HNF4A,ABCB11,0.508,Unknown Hepatic Disease
HNF4A,NR5A2,0.619,Unknown Hepatic Disease
HNF4A,CYP8B1,0.764,Unknown Hepatic Disease
HNF4A,NR1H4,0.786,Unknown Hepatic Disease
HNF4A,NR1I2,0.829,Unknown Hepatic Disease
CYP8B1,NR1H3,0.662,Unknown Hepatic Disease
CYP8B1,NR1I2,0.686,Unknown Hepatic Disease
CYP8B1,ABCB11,0.826,Unknown Hepatic Disease
CYP8B1,NR1H4,0.861,Unknown Hepatic Disease
CYP8B1,NR5A2,0.89,Unknown Hepatic Disease
NR1I2,NR5A2,0.495,Unknown Hepatic Disease
NR1I2,NR1H4,0.642,Unknown Hepatic Disease
NR1I2,ABCB11,0.839,Unknown Hepatic Disease
NR5A2,ABCB11,0.533,Unknown Hepatic Disease
NR5A2,NR1H3,0.646,Unknown Hepatic Disease
NR5A2,NR1H4,0.705,Unknown Hepatic Disease
NR1H4,NR1H3,0.426,Unknown Hepatic Disease
NR1H4,ABCB11,0.964,Unknown Hepatic Disease
NR1H3,ABCB11,0.432,Unknown Hepatic Disease
KDR,FGFR2,0.511,Unknown Hepatic Disease
KDR,SDC1,0.56,Unknown Hepatic Disease
KDR,FGFR1,0.681,Unknown Hepatic Disease
KDR,HSPG2,0.975,Unknown Hepatic Disease
KDR,FLT1,0.994,Unknown Hepatic Disease
KDR,FGF2,0.998,Unknown Hepatic Disease
FGF2,FLT1,0.993,Unknown Hepatic Disease
FGF2,SDC4,0.993,Unknown Hepatic Disease
FGF2,FGFBP1,0.995,Unknown Hepatic Disease
FGF2,SDC1,0.997,Unknown Hepatic Disease
FGF2,HSPG2,0.998,Unknown Hepatic Disease
FGF2,FGFR2,0.999,Unknown Hepatic Disease
FGF2,FGFR4,0.999,Unknown Hepatic Disease
FGF2,FGFR1,0.999,Unknown Hepatic Disease
FGF2,FGFR3,0.999,Unknown Hepatic Disease
FLT1,HSPG2,0.406,Unknown Hepatic Disease
FLT1,FGFR2,0.431,Unknown Hepatic Disease
FLT1,FGFR4,0.476,Unknown Hepatic Disease
FLT1,FGFR1,0.555,Unknown Hepatic Disease
FGFR4,FGFR2,0.632,Unknown Hepatic Disease
FGFR4,FGFR3,0.79,Unknown Hepatic Disease
FGFR4,FGFR1,0.967,Unknown Hepatic Disease
FGFR3,SDC1,0.457,Unknown Hepatic Disease
FGFR3,FGFR1,0.854,Unknown Hepatic Disease
FGFR3,FGFR2,0.987,Unknown Hepatic Disease
SDC4,HSPG2,0.785,Unknown Hepatic Disease
SDC4,FGFR1,0.887,Unknown Hepatic Disease
SDC4,SDC1,0.947,Unknown Hepatic Disease
HSPG2,FGFR2,0.441,Unknown Hepatic Disease
HSPG2,FGFR1,0.62,Unknown Hepatic Disease
HSPG2,FGFBP1,0.884,Unknown Hepatic Disease
HSPG2,SDC1,0.966,Unknown Hepatic Disease
SDC1,FGFR1,0.695,Unknown Hepatic Disease
FGFBP1,FGFR2,0.614,Unknown Hepatic Disease
FGFR1,FGFR2,0.853,Unknown Hepatic Disease
PRKAR2A,AKAP5,0.905,Unknown Hepatic Disease
PRKAR2A,PRKAR1A,0.922,Unknown Hepatic Disease
PRKAR2A,PRKAR1B,0.951,Unknown Hepatic Disease
PRKAR2A,AKAP1,0.97,Unknown Hepatic Disease
PRKAR2A,PRKAR2B,0.989,Unknown Hepatic Disease
PRKAR2A,PRKACA,0.999,Unknown Hepatic Disease
PRKAR2B,RYR2,0.41,Unknown Hepatic Disease
PRKAR2B,CREB1,0.499,Unknown Hepatic Disease
PRKAR2B,PRKAR1A,0.954,Unknown Hepatic Disease
PRKAR2B,PRKAR1B,0.968,Unknown Hepatic Disease
PRKAR2B,AKAP1,0.981,Unknown Hepatic Disease
PRKAR2B,AKAP5,0.996,Unknown Hepatic Disease
PRKAR2B,PRKACA,0.999,Unknown Hepatic Disease
PRKACA,RYR2,0.994,Unknown Hepatic Disease
PRKACA,CREB1,0.996,Unknown Hepatic Disease
PRKACA,EZR,0.998,Unknown Hepatic Disease
PRKACA,AKAP5,0.998,Unknown Hepatic Disease
PRKACA,PKIA,0.998,Unknown Hepatic Disease
PRKACA,PRKAR1B,0.999,Unknown Hepatic Disease
PRKACA,AKAP1,0.999,Unknown Hepatic Disease
PRKACA,PRKAR1A,0.999,Unknown Hepatic Disease
EZR,AKAP5,0.454,Unknown Hepatic Disease
RYR2,AKAP5,0.457,Unknown Hepatic Disease
PRKAR1A,CREB1,0.491,Unknown Hepatic Disease
PRKAR1A,AKAP5,0.593,Unknown Hepatic Disease
PRKAR1A,AKAP1,0.854,Unknown Hepatic Disease
PRKAR1A,PRKAR1B,0.98,Unknown Hepatic Disease
AKAP5,PRKAR1B,0.531,Unknown Hepatic Disease
AKAP5,AKAP1,0.931,Unknown Hepatic Disease
PRKAR1B,AKAP1,0.722,Unknown Hepatic Disease
CREB1,AKAP1,0.4,Unknown Hepatic Disease
